Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Sep,5-6,5/9/03,8,Populus,TT,34.0,2.0,39.0,5.0,19.0,-6.0,-5.0,-3.0,,,,,,,,,,4.25,,,5.14,,,5.04,,,,,,,,,
,Sep,11-16,11/9/03,22,MORI,FT,31.0,-3.0,40.0,4.0,21.0,-3.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,19-21,19/9/03,23,ICM,GU,30.0,-2.0,35.0,-2.0,28.0,6.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,23-25,23/9/03,27,YouGov,DT,32.0,-5.0,31.0,-5.0,30.0,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,24-26,24/9/03,28,ICM,NoW,31.0,1.0,31.0,-4.0,31.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,25-26,25/9/03,28,YouGov,ST,33.0,1.0,30.0,-1.0,30.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,18.0,28.0,21.0,,25.0,65.0,-40.0,
,Sep,26-28,26/9/03,1,NOP,Ind,29.0,,38.0,,27.0,,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,30-2,30/9/03,6,YouGov,DT/Sky,33.0,0.0,33.0,-2.0,28.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,2-3,2/10/03,5,YouGov,MoS,33.0,0.0,34.0,1.0,26.0,-2.0,-1.0,-2.0,,,,,,,,22.0,65.0,-43.0,40.0,58.0,-18.0,65.0,21.0,44.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Oct,3-5,3/10/03,6,Populus,TT,31.0,-3.0,36.0,-3.0,26.0,7.0,-5.0,0.0,,,,,,,,,,4.17,,,4.9,,,5.18,,,,,,,,,
,Oct,10-11,10/10/03,12,YouGov,MoS,38.0,5.0,33.0,-1.0,22.0,-4.0,5.0,5.0,,,,,,,,31.0,56.0,-25.0,37.0,60.0,-23.0,61.0,19.0,42.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Oct,16-18,16/10/03,19,YouGov,MoS,34.0,-4.0,34.0,1.0,25.0,3.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,17-19,17/10/03,21,ICM,GU,33.0,2.0,38.0,7.0,21.0,-10.0,-5.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,23-28,23/10/03,1,MORI,FT,35.0,4.0,38.0,-2.0,21.0,0.0,-3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,30-31,30/10/03,1,YouGov,DT,34.0,0.0,36.0,2.0,23.0,-2.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,22.0,29.0,14.0,,26.0,61.0,-35.0,
,Oct,31-1,31/10/03,4,MORI,Ind,32.0,-3.0,38.0,3.0,25.0,6.0,-6.0,-6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,6,6/11/03,9,ICM,NoW,31.0,-2.0,39.0,1.0,22.0,1.0,-8.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,7-8,7/11/03,9,YouGov,MoS,34.0,0.0,36.0,0.0,24.0,1.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,7-9,7/11/03,10,Populus,TT,31.0,0.0,36.0,0.0,25.0,-1.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,13-14,13/11/03,16,YouGov,ST,36.0,2.0,39.0,3.0,20.0,-4.0,-3.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,14-16,14/11/03,19,ICM,GU,33.0,2.0,38.0,-1.0,21.0,1.0,-5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,20-25,20/11/03,1,MORI,,35.0,0.0,36.0,-2.0,22.0,1.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,25-27,25/11/03,28,YouGov,DT,38.0,2.0,36.0,-3.0,19.0,-1.0,2.0,5.0,,,,,,,,,,,,,,,,,,27.0,31.0,10.0,,26.0,59.0,-33.0,
,Dec,5-6,5/12/03,7,YouGov,MoS,36.0,-2.0,36.0,0.0,23.0,4.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,5-7,5/12/03,9,Populus,TT,33.0,2.0,36.0,0.0,22.0,-3.0,-3.0,2.0,,,,,,,,,,4.73,,,5.01,,,5.00,,,,,,,,,
,Dec,11-17,11/12/03,20,MORI,FT,31.0,-4.0,40.0,4.0,22.0,0.0,-9.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,
