Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
,Mar,17-18,17/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,43.0,46.0,-3.0,21.0,66.0,-45.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Mar,21-23,21/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,27.0,25.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,22-23,22/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,55.0,35.0,20.0,22.0,64.0,-42.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Mar,23,23/3/20,,R+W,,47.0,-2.0,29.0,-1.0,8.0,-1.0,5.0,0.0,,,,,18.0,-1.0,Internet,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,24-26,24/3/20,28,NCP,Bloomberg,54.0,,28.0,,7.0,,4.0,,2.0,,,,26.0,,Internet,Number Cruncher Politics. Some polls UK but voting intention always GB,,82.0,72.0,25.0,47.0,33.0,54.0,-21.0,,,,,,,,,,Are you satisfied or dissatisfied with the way the X is doing his job as Y?,,,,,,,73.0,24.0,49.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,
,Mar,26-27,26/3/20,29,Deltapoll,MoS,,,,,,,,,,,,,,,Internet,,,,70.0,25.0,45.0,25.0,63.0,-38.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
,Mar,26-28,26/3/20,29,Opinium,Ob,54.0,5.0,28.0,-4.0,6.0,0.0,3.0,-2.0,0.0,0.0,,,26.0,9.0,Internet,,,,55.0,26.0,29.0,19.0,54.0,-35.0,12.0,21.0,-9.0,19.0,43.0,-24.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,51.0,14.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Mar,28-30,28/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,26.0,26.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,1-2,1/4/20,3,YouGov,TT,52.0,4.0,28.0,0.0,8.0,-2.0,5.0,-1.0,1.0,-1.0,,,24.0,4.0,Internet,,,,54.0,37.0,17.0,20.0,65.0,-45.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Apr,1-2,1/4/20,,R+W,,49.0,2.0,29.0,0.0,8.0,0.0,4.0,-1.0,,,,,20.0,2.0,Internet,,,78.0,61.0,22.0,39.0,,,,,,,,,,,,,To what extent do you approve or disapprove of X's overall job performance since he became Y?,,,,,,,,,,,,,,
,Apr,1-3,1/4/20,5,Opinium,Ob,53.0,-1.0,30.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,,23.0,-3.0,Internet,,,,51.0,26.0,25.0,18.0,54.0,-36.0,12.0,21.0,-9.0,23.0,39.0,-16.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,,,,,,,,,,,,,,
,Apr,4-6,4/4/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,29.0,21.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,7-9,7/4/20,11,BMG,Ind,46.0,1.0,29.0,1.0,10.0,-1.0,6.0,,2.0,,,,17.0,0.0,Internet,,,,,,,31.0,10.0,21.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,,,,,,,,
,Apr,7-9,7/4/20,12,Opinium,Ob,55.0,2.0,29.0,-1.0,5.0,-2.0,4.0,1.0,0.0,0.0,1.0,0.0,26.0,3.0,Internet,,,,,,,34.0,8.0,26.0,13.0,20.0,-7.0,12.0,27.0,-15.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,,,,,,,,,,,,,,
,Apr,10-13,10/4/20,16,Ipsos,,,,,,,,,,,,,,,,Internet,,,,51.0,31.0,20.0,26.0,21.0,5.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Apr,10-14,10/4/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,34.0,25.0,9.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Apr,11-13,11/4/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,66.0,26.0,40.0,,,,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,50.0,28.0,22.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,15-17,15/4/20,19,Opinium,Ob,51.0,-4.0,32.0,3.0,6.0,1.0,3.0,-1.0,0.0,0.0,1.0,0.0,19.0,-7.0,Internet,,,,55.0,27.0,28.0,33.0,17.0,16.0,15.0,21.0,-6.0,20.0,40.0,-20.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,48.0,22.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Apr,16-17,16/4/20,20,YouGov,TT,53.0,1.0,32.0,4.0,5.0,-3.0,3.0,-2.0,1.0,0.0,,,21.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,46.0,22.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Apr,16-20,16/4/20,22,Kantar,,54.0,4.0,28.0,-1.0,9.0,-2.0,4.0,2.0,1.0,0.0,0.0,-1.0,26.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17,17/4/20,19,R+W,,52.0,3.0,31.0,2.0,8.0,0.0,3.0,-1.0,,,,,21.0,1.0,Internet,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,18-20,18/4/20,22,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,32.0,15.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,21-22,21/4/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,58.0,34.0,24.0,31.0,30.0,1.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Apr,21-23,21/4/20,26,Opinium,Ob,50.0,-1.0,33.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,-2.0,Internet,,,,49.0,31.0,18.0,32.0,19.0,13.0,14.0,21.0,-7.0,18.0,41.0,-23.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,44.0,23.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Apr,23-24,23/4/20,26,Deltapoll,MoS,,,,,,,,,,,,,,,Internet,,,,67.0,29.0,38.0,38.0,26.0,12.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
,Apr,25-27,25/4/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,33.0,14.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,26,26/4/20,28,R+W,,50.0,-2.0,33.0,2.0,7.0,-1.0,4.0,1.0,,,,,17.0,-4.0,Internet,,,83.0,56.0,24.0,32.0,,,,,,,,,,,,,To what extent do you approve or disapprove of X’s job performance in the last month?  ,,,,,,,,,,,,,,
,Apr,27-28,27/4/20,1,Survation,,48.0,,31.0,,8.0,,5.0,,1.0,,,,17.0,,Internet,UK,,79.0,61.0,22.0,39.0,29.0,16.0,13.0,,,,,,,,,,To what extent are you satisfied of dissatisfied with the performance of X as Y?,,,,,,,,,,,,,,
,Apr,29-1,29/4/20,3,Opinium,Ob,51.0,1.0,33.0,0.0,6.0,-1.0,3.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,Internet,,,,51.0,31.0,20.0,36.0,18.0,18.0,13.0,21.0,-8.0,19.0,42.0,-23.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,45.0,23.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,2-3,2/5/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,30.0,19.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,5-6,5/5/20,7,YouGov,TT,50.0,-3.0,30.0,-2.0,7.0,2.0,5.0,2.0,3.0,2.0,,,20.0,-1.0,Internet,,,,54.0,38.0,16.0,35.0,30.0,5.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
